Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/CURA Objects/Page_CURA Healthcare Service/button_Comment_btn-book-appointment""))",Edge Chromium 142.0.3595.90,,,20-11-2025 14:28:32,20-11-2025 14:28:33,0.986s,PASSED
,,,,,,,
Test Cases/Login/Login 2,Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:05,20-11-2025 14:30:42,37.015s,FAILED
"openBrowser("""")",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:05,20-11-2025 14:30:16,10.933s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:16,20-11-2025 14:30:18,1.268s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_We Care About Your Health_btn-make-appointment""))",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:18,20-11-2025 14:30:24,6.354s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_txt-username""), ""John Doe"")",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:24,20-11-2025 14:30:27,3.322s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_txt-password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:27,20-11-2025 14:30:30,2.265s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Password_btn-login""))",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:30,20-11-2025 14:30:32,2.222s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2""))",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:32,20-11-2025 14:30:42,10.511s,FAILED
,,,,,,,
Test Cases/Login/Login3,Edge Chromium 142.0.3595.90,,GenAI,20-11-2025 14:30:42,20-11-2025 14:31:05,22.931s,PASSED
"openBrowser("""")",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:43,20-11-2025 14:30:53,10.520s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:53,20-11-2025 14:30:57,3.548s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_We Care About Your Health_btn-make-appointment""))",Edge Chromium 142.0.3595.90,,,20-11-2025 14:30:57,20-11-2025 14:31:00,3.846s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Edge Chromium 142.0.3595.90,,,20-11-2025 14:31:00,20-11-2025 14:31:02,1.505s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a""))",Edge Chromium 142.0.3595.90,,,20-11-2025 14:31:02,20-11-2025 14:31:04,2.193s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2""))",Edge Chromium 142.0.3595.90,,,20-11-2025 14:31:04,20-11-2025 14:31:05,1.030s,PASSED
"println(""script is successfull"")",Edge Chromium 142.0.3595.90,,,20-11-2025 14:31:05,20-11-2025 14:31:05,0.014s,PASSED
